site,name,day,total rainfall (mm),latitude,longitude
TA00266,Kajaji SHS, Kajaji,2018-05-16,0,7.781986,-0.212638
TA00266,Kajaji SHS, Kajaji,2018-05-17,7.5,7.781986,-0.212638
TA00266,Kajaji SHS, Kajaji,2018-05-18,0.07,7.781986,-0.212638
TA00266,Kajaji SHS, Kajaji,2018-05-19,0,7.781986,-0.212638
TA00267,St. Monica s SHS, Mampong,2018-05-15,0.24,7.044865,-1.404366
TA00267,St. Monica s SHS, Mampong,2018-05-16,0.99,7.044865,-1.404366
TA00267,St. Monica s SHS, Mampong,2018-05-17,0.52,7.044865,-1.404366
TA00267,St. Monica s SHS, Mampong,2018-05-18,0.06,7.044865,-1.404366
TA00267,St. Monica s SHS, Mampong,2018-05-19,0.03,7.044865,-1.404366
TA00268,Nafana Presby SHS, Sampa,2018-05-15,0.02,7.945427,-2.692886
TA00268,Nafana Presby SHS, Sampa,2018-05-16,3,7.945427,-2.692886
TA00268,Nafana Presby SHS, Sampa,2018-05-17,2.56,7.945427,-2.692886
TA00268,Nafana Presby SHS, Sampa,2018-05-18,0.11,7.945427,-2.692886
TA00268,Nafana Presby SHS, Sampa,2018-05-19,0,7.945427,-2.692886
TA00275,Goka SHTS, Goka,2018-05-15,0,7.7579531,-2.6490646
TA00275,Goka SHTS, Goka,2018-05-16,0.58,7.7579531,-2.6490646
TA00275,Goka SHTS, Goka,2018-05-17,0.24,7.7579531,-2.6490646
TA00275,Goka SHTS, Goka,2018-05-18,0.06,7.7579531,-2.6490646
TA00275,Goka SHTS, Goka,2018-05-19,0.04,7.7579531,-2.6490646
TA00276,Bibiani SHTS, Bibiani,2018-05-15,0,6.4631616,-2.3042364
TA00276,Bibiani SHTS, Bibiani,2018-05-16,0,6.4631616,-2.3042364
TA00276,Bibiani SHTS, Bibiani,2018-05-17,7.01,6.4631616,-2.3042364
TA00276,Bibiani SHTS, Bibiani,2018-05-18,0.04,6.4631616,-2.3042364
TA00276,Bibiani SHTS, Bibiani,2018-05-19,0.02,6.4631616,-2.3042364
TA00277,Mankranso SHS,2018-05-15,0.02,6.8246152,-1.8682505
TA00277,Mankranso SHS,2018-05-16,5.47,6.8246152,-1.8682505
TA00277,Mankranso SHS,2018-05-17,8.17,6.8246152,-1.8682505
TA00277,Mankranso SHS,2018-05-18,0.04,6.8246152,-1.8682505
TA00277,Mankranso SHS,2018-05-19,0.06,6.8246152,-1.8682505
TA00278,Sunyani Airport,2018-05-15,0,7.3591252,-2.3298696
TA00278,Sunyani Airport,2018-05-16,0,7.3591252,-2.3298696
TA00278,Sunyani Airport,2018-05-17,1.74,7.3591252,-2.3298696
TA00278,Sunyani Airport,2018-05-18,0,7.3591252,-2.3298696
TA00278,Sunyani Airport,2018-05-19,0,7.3591252,-2.3298696
TA00279,Kumasi Airport,2018-05-15,0,6.7169821,-1.5916858
TA00279,Kumasi Airport,2018-05-16,0.61,6.7169821,-1.5916858
TA00279,Kumasi Airport,2018-05-17,5.82,6.7169821,-1.5916858
TA00279,Kumasi Airport,2018-05-18,0,6.7169821,-1.5916858
TA00279,Kumasi Airport,2018-05-19,0,6.7169821,-1.5916858
TA00280,Nkawkaw SHS, Nkawkaw,2018-05-15,2.29,6.5379185,-0.7591053
TA00280,Nkawkaw SHS, Nkawkaw,2018-05-16,0.34,6.5379185,-0.7591053
TA00280,Nkawkaw SHS, Nkawkaw,2018-05-17,0.83,6.5379185,-0.7591053
TA00280,Nkawkaw SHS, Nkawkaw,2018-05-18,0.07,6.5379185,-0.7591053
TA00280,Nkawkaw SHS, Nkawkaw,2018-05-19,0.04,6.5379185,-0.7591053
TA00282,Awudome SHS, Tsito,2018-05-15,0,6.5291887,0.2804509
TA00282,Awudome SHS, Tsito,2018-05-16,0,6.5291887,0.2804509
TA00282,Awudome SHS, Tsito,2018-05-17,1.67,6.5291887,0.2804509
TA00282,Awudome SHS, Tsito,2018-05-18,0,6.5291887,0.2804509
TA00282,Awudome SHS, Tsito,2018-05-19,0,6.5291887,0.2804509
TA00297,Twifo Praso SHS,2018-05-15,0.22,5.6158834,-1.5797063
TA00297,Twifo Praso SHS,2018-05-16,0.38,5.6158834,-1.5797063
TA00297,Twifo Praso SHS,2018-05-17,0.38,5.6158834,-1.5797063
TA00297,Twifo Praso SHS,2018-05-18,0.27,5.6158834,-1.5797063
TA00297,Twifo Praso SHS,2018-05-19,0.16,5.6158834,-1.5797063
TA00298,Anum Presby SHS,2018-05-15,0,6.5004241,0.1467558
TA00298,Anum Presby SHS,2018-05-16,0.02,6.5004241,0.1467558
TA00298,Anum Presby SHS,2018-05-17,4.71,6.5004241,0.1467558
TA00298,Anum Presby SHS,2018-05-18,0,6.5004241,0.1467558
TA00298,Anum Presby SHS,2018-05-19,0,6.5004241,0.1467558
TA00301,St. Paul s SHS, Denu,2018-05-15,0,6.1241872,1.1260359
TA00301,St. Paul s SHS, Denu,2018-05-16,0,6.1241872,1.1260359
TA00301,St. Paul s SHS, Denu,2018-05-17,0,6.1241872,1.1260359
TA00301,St. Paul s SHS, Denu,2018-05-18,0,6.1241872,1.1260359
TA00301,St. Paul s SHS, Denu,2018-05-19,0,6.1241872,1.1260359
TA00302,Ghana SHS, Koforidua,2018-05-15,0,6.1078846,-0.2642101
TA00302,Ghana SHS, Koforidua,2018-05-16,0,6.1078846,-0.2642101
TA00302,Ghana SHS, Koforidua,2018-05-17,0,6.1078846,-0.2642101
TA00302,Ghana SHS, Koforidua,2018-05-18,0.02,6.1078846,-0.2642101
TA00302,Ghana SHS, Koforidua,2018-05-19,0.06,6.1078846,-0.2642101
TA00303,Asamankese SHS, Asamankese,2018-05-15,0,5.873005,-0.6752834
TA00303,Asamankese SHS, Asamankese,2018-05-16,0,5.873005,-0.6752834
TA00303,Asamankese SHS, Asamankese,2018-05-17,5.43,5.873005,-0.6752834
TA00303,Asamankese SHS, Asamankese,2018-05-18,0.07,5.873005,-0.6752834
TA00303,Asamankese SHS, Asamankese,2018-05-19,0.13,5.873005,-0.6752834
TA00304,St. Rose s SHS, Akwatia,2018-05-15,0,6.0383226,-0.8152161
TA00304,St. Rose s SHS, Akwatia,2018-05-16,4.13,6.0383226,-0.8152161
TA00304,St. Rose s SHS, Akwatia,2018-05-17,9.11,6.0383226,-0.8152161
TA00304,St. Rose s SHS, Akwatia,2018-05-18,3.8,6.0383226,-0.8152161
TA00304,St. Rose s SHS, Akwatia,2018-05-19,0.22,6.0383226,-0.8152161
TA00308,Oda SHS, Akim Oda,2018-05-15,0.44,5.9685227,-0.9940477
TA00308,Oda SHS, Akim Oda,2018-05-16,0.07,5.9685227,-0.9940477
TA00308,Oda SHS, Akim Oda,2018-05-17,4.56,5.9685227,-0.9940477
TA00308,Oda SHS, Akim Oda,2018-05-18,3.1,5.9685227,-0.9940477
TA00308,Oda SHS, Akim Oda,2018-05-19,0.03,5.9685227,-0.9940477
TA00309,Kwanyako SHS, Agona Kwanyako,2018-05-15,0,5.6037719,-0.6353713
TA00309,Kwanyako SHS, Agona Kwanyako,2018-05-16,0.71,5.6037719,-0.6353713
TA00309,Kwanyako SHS, Agona Kwanyako,2018-05-17,1.81,5.6037719,-0.6353713
TA00309,Kwanyako SHS, Agona Kwanyako,2018-05-18,0.06,5.6037719,-0.6353713
TA00309,Kwanyako SHS, Agona Kwanyako,2018-05-19,0,5.6037719,-0.6353713
TA00310,University of Cape Coast,2018-05-15,0.18,5.1165531,-1.2890207
TA00310,University of Cape Coast,2018-05-16,0.02,5.1165531,-1.2890207
TA00310,University of Cape Coast,2018-05-17,1.75,5.1165531,-1.2890207
TA00310,University of Cape Coast,2018-05-18,0.06,5.1165531,-1.2890207
TA00310,University of Cape Coast,2018-05-19,0,5.1165531,-1.2890207
TA00311,Church of Christ SHS,2018-05-15,0.09,5.5571256,-1.6933381
TA00311,Church of Christ SHS,2018-05-16,1.09,5.5571256,-1.6933381
TA00311,Church of Christ SHS,2018-05-17,39.61,5.5571256,-1.6933381
TA00311,Church of Christ SHS,2018-05-18,2.98,5.5571256,-1.6933381
TA00311,Church of Christ SHS,2018-05-19,0,5.5571256,-1.6933381
TA00312,Abono JHS, Lake Bosomtwi,2018-05-15,3.82,6.536621,-1.432402
TA00312,Abono JHS, Lake Bosomtwi,2018-05-16,7.19,6.536621,-1.432402
TA00312,Abono JHS, Lake Bosomtwi,2018-05-17,0.1,6.536621,-1.432402
TA00312,Abono JHS, Lake Bosomtwi,2018-05-18,17.22,6.536621,-1.432402
TA00312,Abono JHS, Lake Bosomtwi,2018-05-19,0.06,6.536621,-1.432402
