site,name,day,total rainfall (mm),latitude,longitude
TA00039,KNUST JHS Kumasi,2018-05-18,0,6.684166667,-1.568333333
TA00039,KNUST JHS Kumasi,2018-05-19,0,6.684166667,-1.568333333
TA00040,University for Development Studies, Navrongo Campus,2018-05-15,0,10.88472222,-1.090277778
TA00040,University for Development Studies, Navrongo Campus,2018-05-16,0,10.88472222,-1.090277778
TA00040,University for Development Studies, Navrongo Campus,2018-05-17,0,10.88472222,-1.090277778
TA00040,University for Development Studies, Navrongo Campus,2018-05-18,0,10.88472222,-1.090277778
TA00040,University for Development Studies, Navrongo Campus,2018-05-19,0,10.88472222,-1.090277778
TA00041,Obuasi TSHS, Obuasi,2018-05-15,0,6.1871,-1.052630556
TA00041,Obuasi TSHS, Obuasi,2018-05-16,0,6.1871,-1.052630556
TA00041,Obuasi TSHS, Obuasi,2018-05-17,0,6.1871,-1.052630556
TA00041,Obuasi TSHS, Obuasi,2018-05-18,0,6.1871,-1.052630556
TA00041,Obuasi TSHS, Obuasi,2018-05-19,0,6.1871,-1.052630556
TA00042,CRIG, Tafo,2018-05-15,0,6.22,-1.359444444
TA00042,CRIG, Tafo,2018-05-16,0,6.22,-1.359444444
TA00042,CRIG, Tafo,2018-05-17,0,6.22,-1.359444444
TA00042,CRIG, Tafo,2018-05-18,0,6.22,-1.359444444
TA00042,CRIG, Tafo,2018-05-19,0,6.22,-1.359444444
TA00043,St. Joseph Technical School, Kwahu Tafo,2018-05-15,0,6.654452778,-0.669077778
TA00043,St. Joseph Technical School, Kwahu Tafo,2018-05-16,0,6.654452778,-0.669077778
TA00043,St. Joseph Technical School, Kwahu Tafo,2018-05-17,0,6.654452778,-0.669077778
TA00043,St. Joseph Technical School, Kwahu Tafo,2018-05-18,0,6.654452778,-0.669077778
TA00043,St. Joseph Technical School, Kwahu Tafo,2018-05-19,0,6.654452778,-0.669077778
TA00044,Mountain High School, Kona, Ashanti Region,2018-05-15,0,6.851388889,-1.515
TA00044,Mountain High School, Kona, Ashanti Region,2018-05-16,0,6.851388889,-1.515
TA00044,Mountain High School, Kona, Ashanti Region,2018-05-17,0,6.851388889,-1.515
TA00044,Mountain High School, Kona, Ashanti Region,2018-05-18,0.04,6.851388889,-1.515
TA00044,Mountain High School, Kona, Ashanti Region,2018-05-19,0,6.851388889,-1.515
TA00045,Asesewaa Senior High School, Asesewaa,2018-05-15,0,6.406175,-0.146602778
TA00045,Asesewaa Senior High School, Asesewaa,2018-05-16,0,6.406175,-0.146602778
TA00045,Asesewaa Senior High School, Asesewaa,2018-05-17,0,6.406175,-0.146602778
TA00045,Asesewaa Senior High School, Asesewaa,2018-05-18,0,6.406175,-0.146602778
TA00045,Asesewaa Senior High School, Asesewaa,2018-05-19,0,6.406175,-0.146602778
TA00046,Dompoase Senior High School, Dompoase,2018-05-15,0,6.302466667,-1.520297222
TA00046,Dompoase Senior High School, Dompoase,2018-05-16,0.75,6.302466667,-1.520297222
TA00046,Dompoase Senior High School, Dompoase,2018-05-17,11.25,6.302466667,-1.520297222
TA00046,Dompoase Senior High School, Dompoase,2018-05-18,0.04,6.302466667,-1.520297222
TA00046,Dompoase Senior High School, Dompoase,2018-05-19,0.02,6.302466667,-1.520297222
TA00047,Bodwesango Senior High School, Bodwesango,2018-05-15,0,6.283841667,-1.417355556
TA00047,Bodwesango Senior High School, Bodwesango,2018-05-16,6.56,6.283841667,-1.417355556
TA00047,Bodwesango Senior High School, Bodwesango,2018-05-17,2.39,6.283841667,-1.417355556
TA00047,Bodwesango Senior High School, Bodwesango,2018-05-18,0.06,6.283841667,-1.417355556
