,site,name,day,total rainfall (mm),latitude,longitude
321,TA00264,"Gbewaa College of Education, Pusiga",2018-05-16,0,11.0688601,-0.1147799
322,TA00264,"Gbewaa College of Education, Pusiga",2018-05-17,7.44,11.0688601,-0.1147799
323,TA00264,"Gbewaa College of Education, Pusiga",2018-05-18,0.04,11.0688601,-0.1147799
324,TA00264,"Gbewaa College of Education, Pusiga",2018-05-19,0,11.0688601,-0.1147799
325,TA00265,"Prang SHS, Prang",2018-05-15,0,7.996203,-0.8821018
326,TA00265,"Prang SHS, Prang",2018-05-16,0,7.996203,-0.8821018
327,TA00265,"Prang SHS, Prang",2018-05-17,6.27,7.996203,-0.8821018
328,TA00265,"Prang SHS, Prang",2018-05-18,0.04,7.996203,-0.8821018
329,TA00265,"Prang SHS, Prang",2018-05-19,0,7.996203,-0.8821018
330,TA00266,"Kajaji SHS, Kajaji",2018-05-15,0.07,7.781986,-0.212638
331,TA00266,"Kajaji SHS, Kajaji",2018-05-16,0,7.781986,-0.212638
332,TA00266,"Kajaji SHS, Kajaji",2018-05-17,7.5,7.781986,-0.212638
333,TA00266,"Kajaji SHS, Kajaji",2018-05-18,0.07,7.781986,-0.212638
334,TA00266,"Kajaji SHS, Kajaji",2018-05-19,0,7.781986,-0.212638
335,TA00267,"St. Monica s SHS, Mampong",2018-05-15,0.24,7.044865,-1.404366
336,TA00267,"St. Monica s SHS, Mampong",2018-05-16,0.99,7.044865,-1.404366
337,TA00267,"St. Monica s SHS, Mampong",2018-05-17,0.52,7.044865,-1.404366
338,TA00267,"St. Monica s SHS, Mampong",2018-05-18,0.06,7.044865,-1.404366
339,TA00267,"St. Monica s SHS, Mampong",2018-05-19,0.03,7.044865,-1.404366
340,TA00268,"Nafana Presby SHS, Sampa",2018-05-15,0.02,7.945427,-2.692886
341,TA00268,"Nafana Presby SHS, Sampa",2018-05-16,3,7.945427,-2.692886
342,TA00268,"Nafana Presby SHS, Sampa",2018-05-17,2.56,7.945427,-2.692886
343,TA00268,"Nafana Presby SHS, Sampa",2018-05-18,0.11,7.945427,-2.692886
344,TA00268,"Nafana Presby SHS, Sampa",2018-05-19,0,7.945427,-2.692886
345,TA00275,"Goka SHTS, Goka",2018-05-15,0,7.7579531,-2.6490646
346,TA00275,"Goka SHTS, Goka",2018-05-16,0.58,7.7579531,-2.6490646
347,TA00275,"Goka SHTS, Goka",2018-05-17,0.24,7.7579531,-2.6490646
348,TA00275,"Goka SHTS, Goka",2018-05-18,0.06,7.7579531,-2.6490646
349,TA00275,"Goka SHTS, Goka",2018-05-19,0.04,7.7579531,-2.6490646
350,TA00276,"Bibiani SHTS, Bibiani",2018-05-15,0,6.4631616,-2.3042364
351,TA00276,"Bibiani SHTS, Bibiani",2018-05-16,0,6.4631616,-2.3042364
352,TA00276,"Bibiani SHTS, Bibiani",2018-05-17,7.01,6.4631616,-2.3042364
353,TA00276,"Bibiani SHTS, Bibiani",2018-05-18,0.04,6.4631616,-2.3042364
354,TA00276,"Bibiani SHTS, Bibiani",2018-05-19,0.02,6.4631616,-2.3042364
355,TA00277,Mankranso SHS,2018-05-15,0.02,6.8246152,-1.8682505
356,TA00277,Mankranso SHS,2018-05-16,5.47,6.8246152,-1.8682505
357,TA00277,Mankranso SHS,2018-05-17,8.17,6.8246152,-1.8682505
358,TA00277,Mankranso SHS,2018-05-18,0.04,6.8246152,-1.8682505
359,TA00277,Mankranso SHS,2018-05-19,0.06,6.8246152,-1.8682505
360,TA00278,Sunyani Airport,2018-05-15,0,7.3591252,-2.3298696
361,TA00278,Sunyani Airport,2018-05-16,0,7.3591252,-2.3298696
362,TA00278,Sunyani Airport,2018-05-17,1.74,7.3591252,-2.3298696
363,TA00278,Sunyani Airport,2018-05-18,0,7.3591252,-2.3298696
364,TA00278,Sunyani Airport,2018-05-19,0,7.3591252,-2.3298696
365,TA00279,Kumasi Airport,2018-05-15,0,6.7169821,-1.5916858
366,TA00279,Kumasi Airport,2018-05-16,0.61,6.7169821,-1.5916858
367,TA00279,Kumasi Airport,2018-05-17,5.82,6.7169821,-1.5916858
368,TA00279,Kumasi Airport,2018-05-18,0,6.7169821,-1.5916858
369,TA00279,Kumasi Airport,2018-05-19,0,6.7169821,-1.5916858
370,TA00280,"Nkawkaw SHS, Nkawkaw",2018-05-15,2.29,6.5379185,-0.7591053
371,TA00280,"Nkawkaw SHS, Nkawkaw",2018-05-16,0.34,6.5379185,-0.7591053
372,TA00280,"Nkawkaw SHS, Nkawkaw",2018-05-17,0.83,6.5379185,-0.7591053
373,TA00280,"Nkawkaw SHS, Nkawkaw",2018-05-18,0.07,6.5379185,-0.7591053
374,TA00280,"Nkawkaw SHS, Nkawkaw",2018-05-19,0.04,6.5379185,-0.7591053
375,TA00282,"Awudome SHS, Tsito",2018-05-15,0,6.5291887,0.2804509
376,TA00282,"Awudome SHS, Tsito",2018-05-16,0,6.5291887,0.2804509
377,TA00282,"Awudome SHS, Tsito",2018-05-17,1.67,6.5291887,0.2804509
378,TA00282,"Awudome SHS, Tsito",2018-05-18,0,6.5291887,0.2804509
379,TA00282,"Awudome SHS, Tsito",2018-05-19,0,6.5291887,0.2804509
380,TA00297,Twifo Praso SHS,2018-05-15,0.22,5.6158834,-1.5797063
381,TA00297,Twifo Praso SHS,2018-05-16,0.38,5.6158834,-1.5797063
382,TA00297,Twifo Praso SHS,2018-05-17,0.38,5.6158834,-1.5797063
383,TA00297,Twifo Praso SHS,2018-05-18,0.27,5.6158834,-1.5797063
384,TA00297,Twifo Praso SHS,2018-05-19,0.16,5.6158834,-1.5797063
385,TA00298,Anum Presby SHS,2018-05-15,0,6.5004241,0.1467558
386,TA00298,Anum Presby SHS,2018-05-16,0.02,6.5004241,0.1467558
387,TA00298,Anum Presby SHS,2018-05-17,4.71,6.5004241,0.1467558
388,TA00298,Anum Presby SHS,2018-05-18,0,6.5004241,0.1467558
389,TA00298,Anum Presby SHS,2018-05-19,0,6.5004241,0.1467558
390,TA00301,"St. Paul s SHS, Denu",2018-05-15,0,6.1241872,1.1260359
391,TA00301,"St. Paul s SHS, Denu",2018-05-16,0,6.1241872,1.1260359
392,TA00301,"St. Paul s SHS, Denu",2018-05-17,0,6.1241872,1.1260359
393,TA00301,"St. Paul s SHS, Denu",2018-05-18,0,6.1241872,1.1260359
394,TA00301,"St. Paul s SHS, Denu",2018-05-19,0,6.1241872,1.1260359
395,TA00302,"Ghana SHS, Koforidua",2018-05-15,0,6.1078846,-0.2642101
396,TA00302,"Ghana SHS, Koforidua",2018-05-16,0,6.1078846,-0.2642101
397,TA00302,"Ghana SHS, Koforidua",2018-05-17,0,6.1078846,-0.2642101
398,TA00302,"Ghana SHS, Koforidua",2018-05-18,0.02,6.1078846,-0.2642101
399,TA00302,"Ghana SHS, Koforidua",2018-05-19,0.06,6.1078846,-0.2642101
400,TA00303,"Asamankese SHS, Asamankese",2018-05-15,0,5.873005,-0.6752834
401,TA00303,"Asamankese SHS, Asamankese",2018-05-16,0,5.873005,-0.6752834
402,TA00303,"Asamankese SHS, Asamankese",2018-05-17,5.43,5.873005,-0.6752834
403,TA00303,"Asamankese SHS, Asamankese",2018-05-18,0.07,5.873005,-0.6752834
404,TA00303,"Asamankese SHS, Asamankese",2018-05-19,0.13,5.873005,-0.6752834
405,TA00304,"St. Rose s SHS, Akwatia",2018-05-15,0,6.0383226,-0.8152161
406,TA00304,"St. Rose s SHS, Akwatia",2018-05-16,4.13,6.0383226,-0.8152161
407,TA00304,"St. Rose s SHS, Akwatia",2018-05-17,9.11,6.0383226,-0.8152161
408,TA00304,"St. Rose s SHS, Akwatia",2018-05-18,3.8,6.0383226,-0.8152161
409,TA00304,"St. Rose s SHS, Akwatia",2018-05-19,0.22,6.0383226,-0.8152161
410,TA00308,"Oda SHS, Akim Oda",2018-05-15,0.44,5.9685227,-0.9940477
411,TA00308,"Oda SHS, Akim Oda",2018-05-16,0.07,5.9685227,-0.9940477
412,TA00308,"Oda SHS, Akim Oda",2018-05-17,4.56,5.9685227,-0.9940477
413,TA00308,"Oda SHS, Akim Oda",2018-05-18,3.1,5.9685227,-0.9940477
414,TA00308,"Oda SHS, Akim Oda",2018-05-19,0.03,5.9685227,-0.9940477
415,TA00309,"Kwanyako SHS, Agona Kwanyako",2018-05-15,0,5.6037719,-0.6353713
416,TA00309,"Kwanyako SHS, Agona Kwanyako",2018-05-16,0.71,5.6037719,-0.6353713
417,TA00309,"Kwanyako SHS, Agona Kwanyako",2018-05-17,1.81,5.6037719,-0.6353713
418,TA00309,"Kwanyako SHS, Agona Kwanyako",2018-05-18,0.06,5.6037719,-0.6353713
419,TA00309,"Kwanyako SHS, Agona Kwanyako",2018-05-19,0,5.6037719,-0.6353713
420,TA00310,University of Cape Coast,2018-05-15,0.18,5.1165531,-1.2890207
421,TA00310,University of Cape Coast,2018-05-16,0.02,5.1165531,-1.2890207
422,TA00310,University of Cape Coast,2018-05-17,1.75,5.1165531,-1.2890207
423,TA00310,University of Cape Coast,2018-05-18,0.06,5.1165531,-1.2890207
424,TA00310,University of Cape Coast,2018-05-19,0,5.1165531,-1.2890207
425,TA00311,Church of Christ SHS,2018-05-15,0.09,5.5571256,-1.6933381
426,TA00311,Church of Christ SHS,2018-05-16,1.09,5.5571256,-1.6933381
427,TA00311,Church of Christ SHS,2018-05-17,39.61,5.5571256,-1.6933381
428,TA00311,Church of Christ SHS,2018-05-18,2.98,5.5571256,-1.6933381
429,TA00311,Church of Christ SHS,2018-05-19,0,5.5571256,-1.6933381
430,TA00312,"Abono JHS, Lake Bosomtwi",2018-05-15,3.82,6.536621,-1.432402
431,TA00312,"Abono JHS, Lake Bosomtwi",2018-05-16,7.19,6.536621,-1.432402
432,TA00312,"Abono JHS, Lake Bosomtwi",2018-05-17,0.1,6.536621,-1.432402
433,TA00312,"Abono JHS, Lake Bosomtwi",2018-05-18,17.22,6.536621,-1.432402
434,TA00312,"Abono JHS, Lake Bosomtwi",2018-05-19,0.06,6.536621,-1.432402
